Caso;s1;s2;Tiempo (microsegundos);Respuesta
49;twlbri;ogauuu;622;12
49;twlbri;ogauuu;623;12
49;twlbri;ogauuu;625;12
49;twlbri;ogauuu;636;12
50;amiltv;nalxtc;185;6
50;amiltv;nalxtc;185;6
50;amiltv;nalxtc;185;6
50;amiltv;nalxtc;185;6
50;amiltv;nalxtc;185;6
50;amiltv;nalxtc;187;6
50;amiltv;nalxtc;185;6
50;amiltv;nalxtc;185;6
50;amiltv;nalxtc;185;6
50;amiltv;nalxtc;185;6
51;ffnhjds;xsqcfes;596;10
51;ffnhjds;xsqcfes;590;10
51;ffnhjds;xsqcfes;586;10
51;ffnhjds;xsqcfes;585;10
51;ffnhjds;xsqcfes;585;10
51;ffnhjds;xsqcfes;602;10
51;ffnhjds;xsqcfes;605;10
51;ffnhjds;xsqcfes;704;10
51;ffnhjds;xsqcfes;587;10
51;ffnhjds;xsqcfes;588;10
52;oftzrpj;yydabdk;3412;14
52;oftzrpj;yydabdk;3447;14
52;oftzrpj;yydabdk;3391;14
52;oftzrpj;yydabdk;3418;14
52;oftzrpj;yydabdk;3551;14
52;oftzrpj;yydabdk;3715;14
52;oftzrpj;yydabdk;3631;14
52;oftzrpj;yydabdk;3464;14
52;oftzrpj;yydabdk;3448;14
52;oftzrpj;yydabdk;3655;14
53;yhtocyy;qtjtmis;1839;12
53;yhtocyy;qtjtmis;1926;12
53;yhtocyy;qtjtmis;1776;12
53;yhtocyy;qtjtmis;1764;12
53;yhtocyy;qtjtmis;1833;12
53;yhtocyy;qtjtmis;1827;12
53;yhtocyy;qtjtmis;1765;12
53;yhtocyy;qtjtmis;1765;12
53;yhtocyy;qtjtmis;1764;12
53;yhtocyy;qtjtmis;1765;12
54;fqlwpzs;tfuyjdv;2720;12
54;fqlwpzs;tfuyjdv;2624;12
54;fqlwpzs;tfuyjdv;2603;12
54;fqlwpzs;tfuyjdv;2589;12
54;fqlwpzs;tfuyjdv;2773;12
54;fqlwpzs;tfuyjdv;2798;12
54;fqlwpzs;tfuyjdv;2809;12
54;fqlwpzs;tfuyjdv;2810;12
54;fqlwpzs;tfuyjdv;2593;12
54;fqlwpzs;tfuyjdv;2589;12
55;vfftpji;xlffbuu;1503;10
55;vfftpji;xlffbuu;1522;10
55;vfftpji;xlffbuu;1574;10
55;vfftpji;xlffbuu;1494;10
55;vfftpji;xlffbuu;1456;10
55;vfftpji;xlffbuu;1536;10
55;vfftpji;xlffbuu;1492;10
55;vfftpji;xlffbuu;1514;10
55;vfftpji;xlffbuu;1492;10
55;vfftpji;xlffbuu;1535;10
56;zwjbgdn;lxhkyeh;3826;14
56;zwjbgdn;lxhkyeh;3491;14
56;zwjbgdn;lxhkyeh;3959;14
56;zwjbgdn;lxhkyeh;3633;14
56;zwjbgdn;lxhkyeh;3502;14
56;zwjbgdn;lxhkyeh;3399;14
56;zwjbgdn;lxhkyeh;3433;14
56;zwjbgdn;lxhkyeh;3527;14
56;zwjbgdn;lxhkyeh;3503;14
56;zwjbgdn;lxhkyeh;3509;14
57;scpgfjm;ifmtthg;3166;10
57;scpgfjm;ifmtthg;3082;10
57;scpgfjm;ifmtthg;3079;10
57;scpgfjm;ifmtthg;3140;10
57;scpgfjm;ifmtthg;3049;10
57;scpgfjm;ifmtthg;3061;10
57;scpgfjm;ifmtthg;3151;10
57;scpgfjm;ifmtthg;3051;10
57;scpgfjm;ifmtthg;3052;10
57;scpgfjm;ifmtthg;3189;10
58;liulugf;obzpmvj;3741;14
58;liulugf;obzpmvj;3468;14
58;liulugf;obzpmvj;3488;14
58;liulugf;obzpmvj;3520;14
58;liulugf;obzpmvj;3402;14
58;liulugf;obzpmvj;3681;14
58;liulugf;obzpmvj;3573;14
58;liulugf;obzpmvj;3546;14
58;liulugf;obzpmvj;3680;14
58;liulugf;obzpmvj;3624;14
